sn_ra,sn_dec,host_ra,host_dec
7.296027777777778,23.34461111111111,7.294716944444445,23.356744444444445
1.1223277777777778,32.39994444444444,1.123599638888889,32.41255944444444
3.161808333333333,40.974805555555555,3.161868333333333,40.974155555555555
1.658897222222222,33.82668055555556,1.6586597222222221,33.82440555555556
4.3633925,-15.755347222222222,4.3632277777777775,-15.755505555555555
2.511025,42.23580555555556,2.5106955,42.23226638888889
7.203985,7.2397833333333335,7.204202138888889,7.241038055555555
12.090507222222223,-21.400333333333332,12.090249472222222,-21.399209166666665
14.190691944444445,1.2859638888888887,14.190620000000001,1.2865194444444443
15.758420555555556,-13.152786111111112,15.758486944444444,-13.151586111111111
3.331797222222222,41.56486111111111,3.3317119444444443,41.56340833333333
11.397983333333332,-5.551805555555555,11.397995,-5.551847222222222
13.764097222222222,26.7965,13.76414138888889,26.79651666666667
3.3225891666666665,41.49044722222222,3.322583333333333,41.49059166666667
6.843536111111111,31.11237777777778,6.843564444444445,31.116833333333332
15.231757222222223,4.7571916666666665,15.231751388888888,4.75715
14.45511111111111,-1.6752777777777776,14.455241944444444,-1.6785638888888887
7.504833333333333,25.032219444444443,7.504795277777778,25.03153888888889
11.157154722222222,29.573225,11.157166916666666,29.56923972222222
14.33835,-22.189061111111112,14.33805,-22.18852777777778
11.997166666666665,54.80211111111111,11.997168055555555,54.801986111111106
10.813732777777778,-20.263633333333335,10.813505555555556,-20.26225
13.453866666666666,-2.2700722222222223,13.453838055555554,-2.2708916666666665
13.500227777777777,-27.973899999999997,13.500330555555555,-27.974941666666666
13.579303333333334,13.853972222222222,13.582196944444444,13.83253888888889
19.17703527777778,37.65472777777778,19.177085277777778,37.65526111111111
13.537277222222222,84.67843055555556,13.537011111111111,84.67852777777779
10.33381138888889,56.46103888888889,10.333831388888889,56.461172222222224
17.173310833333336,26.39663611111111,17.17322916666667,26.397322222222222
17.593833333333333,8.808986111111112,17.593851388888886,8.810703333333334
14.51923888888889,27.236055555555556,14.519163055555556,27.237291666666668
13.543281111111112,-5.272591666666667,13.54326886111111,-5.272679444444444
12.135222222222222,65.17719444444445,12.135004722222222,65.17413333333334
15.741999999999999,16.303555555555555,15.742077222222221,16.30390277777778
14.785105555555555,11.594977777777778,14.785089166666667,11.593805555555557
22.770227777777777,10.559252777777779,22.77011458333333,10.557088611111112
21.20648611111111,14.779194444444446,21.20648611111111,14.779194444444446
21.159952777777775,15.1255,21.160077972222222,15.124933611111112
13.98457111111111,33.13897222222222,13.984427777777777,33.13811111111111
15.986277777777778,14.641499999999999,15.98621361111111,14.641527777777778
22.425488611111113,38.98430555555556,22.42540888888889,38.983625
1.2395111111111112,-13.153055555555556,1.2396472222222223,-13.154416666666666
0.35641666666666666,22.43563888888889,0.3562250833333333,22.433599722222223
23.262633333333333,-1.3396472222222222,23.26267916666667,-1.3370944444444444
16.070652777777777,16.690019444444445,16.070658333333334,16.690158333333333
2.456027777777778,-23.92925,2.4560618333333335,-23.92879027777778
1.7351583333333334,34.38283333333333,1.7355933333333333,34.387233888888886
1.026538888888889,17.101194444444445,1.0266027777777778,17.10113888888889
22.61642777777778,-25.232119444444443,22.617500833333334,-25.236411111111114
18.32654722222222,23.78588888888889,18.326574722222222,23.78714888888889
18.308027777777777,36.31883333333334,18.308079916666667,36.32040055555556
23.990605555555558,-24.424083333333336,23.990720555555555,-24.42518888888889
21.39495833333333,33.1146,21.39472463888889,33.1188675
1.9258194444444443,33.822972222222226,1.925837722222222,33.82260388888889
2.488188888888889,18.087875,2.4881111111111114,18.087805555555555
17.803438333333332,17.62543611111111,17.803410444444445,17.625254722222223
23.59679722222222,20.708777777777776,23.596622777777778,20.707380555555556
2.5287230555555555,-25.001619444444444,2.528744,-25.00245111111111
3.7273472222222224,46.159102777777775,3.7275127777777777,46.15544444444444
2.534061111111111,-26.665888888888887,2.5337058333333333,-26.665999999999997
2.191408333333333,-16.510305555555554,2.1911741388888886,-16.51130638888889
10.662377777777778,15.034666666666666,10.662370722222223,15.034653888888888
9.003716666666667,-13.633952777777777,9.00366388888889,-13.634305555555555
11.552916666666667,-10.221777777777778,11.552938861111112,-10.228815555555556
13.127616388888889,6.337563888888889,13.127617500000001,6.335872222222222
3.0256666666666665,-15.01598888888889,3.025662222222222,-15.017466666666667
11.642716666666667,25.396333333333335,11.642698888888889,25.398097222222223
11.740702777777777,-28.457555555555555,11.740526388888888,-28.46211111111111
11.465144444444444,27.34575,11.465358333333333,27.34715
14.275277777777779,39.586666666666666,14.27550075,39.58906805555556
10.4451,36.68048888888889,10.444997527777778,36.68144777777778
9.510166388888889,21.411827777777777,9.5102,21.41038888888889
15.988453333333332,13.61413611111111,15.988496944444444,13.613633333333333
2.8195499999999996,14.600730555555556,2.8194922499999997,14.600888055555556
16.0643625,39.99004722222222,16.064495833333336,39.984500000000004
11.022092777777779,70.66521111111112,11.022197444444446,70.66523000000001
17.868402777777778,21.566194444444445,17.86829416666667,21.569175
13.545025,-21.801194444444445,13.545043583333333,-21.800955000000002
13.830319444444445,-3.08,13.830297222222223,-3.0801444444444446
11.427294722222221,7.333555555555555,11.427327777777776,7.334388888888888
13.877497222222223,-2.0022777777777776,13.877716944444446,-1.9976972222222222
8.680319444444445,73.48752777777779,8.680682722222222,73.48676472222222
8.549144444444444,-3.8578055555555557,8.549249277777777,-3.8581950000000003
16.555500000000002,23.730999999999998,16.555544722222223,23.732313888888886
10.179344444444444,-3.7777499999999997,10.179336444444443,-3.7789069444444445
14.337969444444445,15.341547222222223,14.33782663888889,15.34420277777778
14.131257222222223,9.64204722222222,14.131308055555555,9.641271944444444
15.097661111111112,-5.6269583333333335,15.097655555555557,-5.627000000000001
17.16278611111111,62.97416944444445,17.162243027777777,62.973034444444444
12.990914444444444,14.171052777777778,12.99087222222222,14.17105
6.191805555555556,-16.48431111111111,6.191805222222222,-16.485643055555556
15.952263888888888,-12.673313888888888,15.952247222222221,-12.67368611111111
15.378088611111112,50.976508333333335,15.378082722222223,50.97659194444444
13.135869444444443,27.82636388888889,13.135874444444443,27.826516666666667
22.26994722222222,37.47392222222222,22.26996861111111,37.474586111111115
14.214227777777777,35.71106944444445,14.214240555555556,35.71074166666667
13.353583333333333,40.265677777777775,13.35357713888889,40.265765
15.539666666666667,41.84988888888889,15.539615833333333,41.849941666666666
14.054375,41.60398888888889,14.054222222222222,41.60722222222223
15.100736111111111,7.561538888888888,15.10074,7.561591666666667
17.288675,33.46201944444445,17.28856,33.46314166666667
2.3870027777777776,-4.517222222222222,2.3870144444444445,-4.517088888888889
22.51166027777778,39.29311666666666,22.511416861111112,39.29186694444444
1.6433555555555555,-4.680011111111112,1.6435469444444444,-4.682805555555555
4.057311111111111,-5.4920277777777775,4.0572875,-5.4918555555555555
23.110971388888892,-12.57288611111111,23.11100666666667,-12.57328888888889
8.088750000000001,22.963775,8.08877638888889,22.964191666666665
2.266236111111111,12.23711111111111,2.2662333333333335,12.237555555555554
6.013359722222222,-15.399238888888888,6.013355,-15.399094444444444
6.209277222222222,-14.257483333333333,6.209667555555556,-14.2577575
0.3447388888888889,25.22905833333333,0.3448911111111111,25.22795833333333
3.085726666666667,37.9002,3.0862795000000003,37.89999777777778
2.685794444444445,43.68021666666667,2.6859275,43.68269722222222
1.7323816666666667,17.062344444444445,1.7323815277777779,17.06205611111111
8.45225861111111,27.811594444444445,8.4522725,27.810466666666667
2.5928630555555556,-6.063047222222222,2.5928766944444446,-6.063894444444444
15.279769444444446,28.628555555555558,15.279892861111112,28.618445833333332
22.37579722222222,-18.873416666666667,22.375305277777777,-18.869705555555555
1.8951111111111112,29.936305555555556,1.8950652777777777,29.93308888888889
2.8796416666666667,46.94638888888888,2.87901,46.93810694444444
16.047522222222224,47.225,16.047111111111114,47.22555555555556
16.47732222222222,39.54866666666666,16.477290194444443,39.55117583333333
20.731427777777775,12.508444444444445,20.731589916666664,12.511908611111112
23.172955555555557,7.5889444444444445,23.172881944444445,7.580611111111111
23.876994444444446,14.552555555555557,23.87678,14.551438888888889
